Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3931,1029920.257760,NA,0.273,16.658,0.147,153.004,169.579,560.867,345.204,180,405,0,49,NA,NA,NA,NA,NA,NA,272.420,439.215,272.420,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3932,1029920.322398,66.743,64.638,16.696,0.366,105.003,121.637,1.624,295.157,180,405,0,49,NA,NA,NA,NA,NA,NA,1.150,1.854,1.150,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3933,1029920.323356,NA,0.958,16.668,0.177,120.736,137.346,126.029,311.825,180,405,0,49,NA,NA,NA,NA,NA,NA,77.574,125.071,77.574,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3934,1029920.324048,NA,0.692,16.651,0.207,136.762,153.305,197.576,328.476,180,405,0,49,NA,NA,NA,NA,NA,NA,107.362,173.097,107.362,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3935,1029920.324396,NA,0.348,16.647,0.146,153.035,169.604,439.503,345.123,180,405,0,49,NA,NA,NA,NA,NA,NA,213.430,344.106,213.430,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3936,1029920.388854,66.688,64.458,16.671,0.449,105.204,121.817,1.632,293.408,180,405,0,49,NA,NA,NA,NA,NA,NA,1.153,1.859,1.153,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3937,1029920.390032,NA,1.178,16.682,0.250,120.707,137.321,102.476,310.091,180,405,0,49,NA,NA,NA,NA,NA,NA,63.092,101.722,63.092,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3938,1029920.390734,NA,0.702,16.670,0.149,136.689,153.289,194.769,326.761,180,405,0,49,NA,NA,NA,NA,NA,NA,105.894,170.729,105.894,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3939,1029920.391002,NA,0.269,16.649,0.142,153.115,169.669,570.050,343.409,180,405,0,49,NA,NA,NA,NA,NA,NA,276.680,446.083,276.680,8,13,13,NA,4536,40, 77,107.423,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,16260,0x0000025B3DA2ADD0,1,0,Hardware Composed: Independent Flip,0,3940,1029920.455625,66.264,64.623,16.667,0.540,105.111,121.714,1.627,293.812,180,405,0,49,NA,NA,NA,NA,NA,NA,1.150,1.854,1.150,8,13,13,NA,4536,40, 77,105.804,NA,25,66,88,32,38,72,12,92,34,79,26,81,20,40,45,28,23,47,10,24,19,32,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
