Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1546,1030029.350739,NA,16.396,16.656,0.182,0.246,13.299,0.015,79.234,180,405,0,49,NA,NA,NA,NA,NA,NA,4.532,7.308,4.532,8,13,13,NA,4670,15, 53,88.126,NA,20,10,100,5,14,30,7,19,35,28,20,20,6,4,7,4,8,4,5,2,7,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1547,1030029.367294,NA,16.555,16.678,0.168,0.225,13.423,0.014,95.913,180,405,0,49,NA,NA,NA,NA,NA,NA,4.489,7.238,4.489,8,13,13,NA,4670,15, 53,88.126,NA,20,10,100,5,14,30,7,19,35,28,20,20,6,4,7,4,8,4,5,2,7,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1548,1030029.383889,NA,16.596,16.651,0.278,0.433,13.478,0.026,112.563,180,405,0,49,NA,NA,NA,NA,NA,NA,4.478,7.220,4.478,8,13,13,NA,4670,15, 53,88.126,NA,20,10,100,5,14,30,7,19,35,28,20,20,6,4,7,4,8,4,5,2,7,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1549,1030029.400662,67.178,16.773,16.671,0.291,0.358,13.376,0.021,62.055,180,405,0,49,NA,NA,NA,NA,NA,NA,4.431,7.143,4.431,8,13,13,NA,4670,15, 53,88.126,NA,20,10,100,5,14,30,7,19,35,28,20,20,6,4,7,4,8,4,5,2,7,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1550,1030029.417061,NA,16.399,16.672,0.191,0.247,13.649,0.015,78.728,180,405,0,49,NA,NA,NA,NA,NA,NA,4.532,7.307,4.532,8,13,13,NA,4670,15, 53,88.126,NA,20,10,100,5,14,30,7,19,35,28,20,20,6,4,7,4,8,4,5,2,7,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1551,1030029.435254,NA,18.193,16.677,0.197,0.262,12.134,0.014,95.405,180,405,0,49,NA,NA,NA,NA,NA,NA,4.085,6.586,4.085,8,13,13,NA,4654,17, 53,88.996,NA,16,13,100,10,16,32,18,14,34,25,27,22,8,7,9,8,15,7,8,7,9,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1552,1030029.467376,67.205,32.122,33.323,0.319,2.103,13.334,0.065,61.606,180,405,0,49,NA,NA,NA,NA,NA,NA,2.314,3.730,2.314,8,13,13,NA,4654,17, 53,88.996,NA,16,13,100,10,16,32,18,14,34,25,27,22,8,7,9,8,15,7,8,7,9,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1553,1030029.483760,NA,16.384,16.663,0.210,0.272,13.614,0.017,78.269,180,405,0,49,NA,NA,NA,NA,NA,NA,4.536,7.313,4.536,8,13,13,NA,4654,17, 53,88.996,NA,16,13,100,10,16,32,18,14,34,25,27,22,8,7,9,8,15,7,8,7,9,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1554,1030029.500285,NA,16.524,16.686,0.193,0.261,13.775,0.016,94.955,180,405,0,49,NA,NA,NA,NA,NA,NA,4.497,7.251,4.497,8,13,13,NA,4654,17, 53,88.996,NA,16,13,100,10,16,32,18,14,34,25,27,22,8,7,9,8,15,7,8,7,9,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,1555,1030029.516816,NA,16.532,16.646,0.239,0.340,13.890,0.021,111.601,180,405,0,49,NA,NA,NA,NA,NA,NA,4.495,7.248,4.495,8,13,13,NA,4654,17, 53,88.996,NA,16,13,100,10,16,32,18,14,34,25,27,22,8,7,9,8,15,7,8,7,9,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
